,renda mensal per capita,freezer,V2103,V2105,V2107,V2109,deixou de ter alimentos saudaveis,nao comeu suficiente,diminiui quantidade de alimento,deixou de fazer refeicao,sentiu fome,menos de uma refeicao/dia
1664,5.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1668,2.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
1674,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
1676,3.0,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
1690,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1691,3.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1692,0.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1693,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1695,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1696,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1699,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1701,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1702,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1703,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1707,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1709,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1713,5.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1729,3.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1746,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
1755,99.0,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
1764,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1766,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1770,99.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1774,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1777,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1793,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1798,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1805,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1816,5.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1817,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1824,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1848,4.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1859,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
1861,1.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
1868,3.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1872,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1875,2.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
1889,4.0,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
1894,4.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1941,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1945,3.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
1959,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1964,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1971,0.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1993,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1998,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
2013,1.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
2047,3.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
2055,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2057,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
2062,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
2075,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2077,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2082,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2083,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2084,1.0,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não
2087,2.0,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não
2097,1.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
2098,0.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
2099,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
2100,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2105,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
2106,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2117,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2130,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2142,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
2166,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2194,2.0,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não
2206,99.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
2207,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
2213,99.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2221,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
2230,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
2235,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2248,1.0,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
2249,1.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
2250,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2254,99.0,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
2255,4.0,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
2258,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2261,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2268,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
2270,3.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2280,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2283,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2290,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2294,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2298,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2320,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2323,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2325,4.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2329,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2332,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
2333,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2349,3.0,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
2397,5.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
2448,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2469,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
2490,3.0,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não
2509,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2527,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2551,2.0,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
2553,2.0,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
2559,2.0,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
2561,1.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2577,2.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
2616,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2635,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2641,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2651,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não
2662,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
2672,1.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
2679,1.0,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
2685,3.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
2689,2.0,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
2690,4.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
