,renda mensal per capita,seguranca alimentar,freezer,V2103,V2105,V2107,V2109,deixou de ter alimentos saudaveis,nao comeu suficiente,diminiui quantidade de alimento,deixou de fazer refeicao,sentiu fome,menos de uma refeicao/dia,recebeu ajuda em alimentos
1155,3.0,2.0,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Sim
1157,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
1161,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não
1163,3.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
1164,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1165,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
1167,2.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
1168,3.0,2.0,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1171,2.0,2.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
1185,4.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
1186,3.0,3.0,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim
1195,4.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1219,3.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1221,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
1222,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1223,3.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1227,4.0,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim
1229,4.0,2.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
1230,5.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
1237,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
1245,3.0,2.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
1246,2.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1252,4.0,2.0,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
1265,3.0,2.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1268,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1279,4.0,2.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1282,2.0,2.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
1302,3.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
1303,2.0,3.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1308,2.0,2.0,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1323,3.0,2.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
1327,1.0,4.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
1330,5.0,2.0,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1331,3.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
1336,4.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
1337,3.0,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
1339,2.0,2.0,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1351,3.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1353,4.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
1356,3.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
